Model	Annotator	Chambre	Emplacement	Rapport qualité-prix	Ambiance	Personnel
Llama-3.3-70B-Instruct-FP8	annotator_13@mail.com	0.8753372155127914	0.9155576979539646	0.5373777635928751	0.7393501670271468	0.9761382440765808
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	0.9585656559627895	0.9450121592758074	0.8552685037637482	0.8120285952570035	0.9860429198712712
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	0.9281973003252394	0.931685480737293	0.7237334022045956	0.683760449869906	0.9703053400947237
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	0.8843269888794829	0.9721137961645867	0.808845896125702	0.7910436245753518	0.9787769673698417
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	0.8800059014126901	0.937152167845832	0.733725938133854	0.7025203133556583	0.9427420378531604
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	0.7793940664755232	0.9549839180708348	0.8219890404903508	0.8094325469626417	0.9725828837017486
Llama-3.3-70B-Instruct-FP8	annotator_12@mail.com	0.9621688078281256	0.9829013214297341	0.5522886979817404	0.8024204113609292	0.9726361566754145
Llama-3.3-70B-Instruct-FP8	annotator_11@mail.com	0.9621771693308866	0.9519498820181448	0.8529545921064501	0.8468264007416766	0.9655049556811599
Llama-3.3-70B-Instruct-FP8	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	0.8316237178368753	0.9429451559825999	0.6257399847774868	0.84816246203404	0.9170110861559149
Mistral-Small-3.2-24B-Instruct-2506	annotator_3@mail.com	0.9530481863036823	0.941478443922289	0.921597470934212	0.8650187547475627	0.9642279723540316
Mistral-Small-3.2-24B-Instruct-2506	annotator_4@mail.com	0.9448171946527754	0.9271484371335144	0.7297106702153919	0.7939558008358412	0.9294513393175302
Mistral-Small-3.2-24B-Instruct-2506	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Small-3.2-24B-Instruct-2506	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Small-3.2-24B-Instruct-2506	annotator_1@mail.com	0.8565433392630938	0.9729839994744175	0.8313767700567543	0.8274808390124282	0.9721822659755254
Mistral-Small-3.2-24B-Instruct-2506	annotator_7@mail.com	0.8530405233896396	0.9430632940418185	0.7939943372940456	0.7262865532811277	0.9081428465367906
Mistral-Small-3.2-24B-Instruct-2506	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Small-3.2-24B-Instruct-2506	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Small-3.2-24B-Instruct-2506	annotator_9@mail.com	0.7851886742906189	0.9390968820172386	0.7883450225748925	0.7847773155568702	0.9484159644885007
Mistral-Small-3.2-24B-Instruct-2506	annotator_12@mail.com	0.9468756416376064	0.9579422115983164	0.6864136203714177	0.8002357691819965	0.9686517114650192
Mistral-Small-3.2-24B-Instruct-2506	annotator_11@mail.com	0.9530776917627647	0.9561235889198003	0.8555164542670739	0.8361459934559029	0.9567822342590516
Mistral-Small-3.2-24B-Instruct-2506	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-27b-it	annotator_13@mail.com	0.8604888901335287	0.8985280812408435	0.5069210647359097	0.8665914961332649	0.9783109276804636
gemma-3-27b-it	annotator_3@mail.com	0.9775412714624343	0.9178403296882502	0.8521636887786492	0.9022439999429778	0.9879977734046157
gemma-3-27b-it	annotator_4@mail.com	0.9703606411351995	0.929135725200022	0.6025926995583204	0.8474380082628767	0.9817498589030204
gemma-3-27b-it	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-27b-it	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-27b-it	annotator_1@mail.com	0.8962655436641112	0.9747454405709227	0.891906266114323	0.8997547613440322	0.9913574701911538
gemma-3-27b-it	annotator_7@mail.com	0.8496130763205201	0.925980319887642	0.6134580260052209	0.7257404049509767	0.9564703725354294
gemma-3-27b-it	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-27b-it	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-27b-it	annotator_9@mail.com	0.7821712385973953	0.9606232181625641	0.8436311626248738	0.8539070442432354	0.9795966755827729
gemma-3-27b-it	annotator_12@mail.com	0.972227977005374	0.9782583170254403	0.5574932442348951	0.8939464333876942	0.9824526429295798
gemma-3-27b-it	annotator_11@mail.com	0.979308497847562	0.9703137320607356	0.9326801832062174	0.923699843830022	0.9945811513358207
gemma-3-27b-it	annotator_2@mail.com	0.9963970128609777	0.9918911913225223	0.9889614744529174	0.9839958615710311	0.9988848115642143
Llama-3.1-8B-Instruct	annotator_13@mail.com	0.6679351782580263	0.8201571495317816	0.4005008304502709	0.5829663294272674	0.848457472720144
Llama-3.1-8B-Instruct	annotator_3@mail.com	0.8741023934080991	0.8631256152233868	0.6978015530997994	0.729861266578005	0.9098079166789181
Llama-3.1-8B-Instruct	annotator_4@mail.com	0.8950156204014953	0.9198080471245877	0.5447639066782	0.676660160462274	0.9244653229041638
Llama-3.1-8B-Instruct	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.1-8B-Instruct	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.1-8B-Instruct	annotator_1@mail.com	0.7793062471240209	0.8973829699463381	0.6913539885339128	0.6639720977052554	0.8963633247309528
